# wavelength (nm)	photon flux (phot/s/cm^2/nm)
591.50	228522139328461.59
592.50	228654034957792.34
593.50	228809503711933.28
594.50	228980511360100.56
595.50	229147352360013.25
596.50	229312650677374.59
597.50	229423110429729.69
598.50	229508832650494.06
599.50	229477063926904.44
600.50	229407424837099.22
601.50	229262079829050.06
602.50	229102303483853.28
603.50	228926411545029.88
604.50	228670556584574.50
605.50	228360433972989.47
606.50	227944463274807.22
607.50	227485531907489.91
608.50	227047607527179.78
609.50	226612594382598.59
610.50	226226499283358.75
611.50	225843660684562.75
612.50	225465926560484.75
613.50	225086653460535.41
614.50	224762907340626.19
615.50	224446029849444.97
616.50	224346083868193.56
617.50	224253825660890.22
618.50	224304378295225.97
619.50	224350774070996.53
620.50	224346782102108.81
621.50	224339844037484.50
622.50	224289269142186.75
623.50	224237914893249.09
624.50	224239069840690.41
625.50	224239076705308.56
626.50	224275632739882.47
627.50	224312734260019.22
628.50	224226797940299.31
629.50	224124346106248.69
630.50	223991664982276.97
631.50	223850229624391.53
632.50	223744556433208.69
633.50	223654228551895.19
634.50	223567869739998.09
635.50	223484184110551.47
636.50	223363045181073.56
637.50	223192517123163.00
638.50	223017022072461.19
639.50	222830860341608.88
640.50	222645335695959.94
641.50	222481553613675.56
642.50	222316177162419.62
643.50	221893911063202.00
644.50	221437654753450.00
645.50	220943181377017.66
646.50	220429270678778.12
647.50	219936960050702.16
648.50	219472985357413.81
649.50	219019482376087.88
650.50	218618834492355.34
651.50	218215918014225.47
652.50	217848775415628.00
653.50	217483249036589.34
654.50	217242999234291.66
655.50	217079211962005.66
656.50	217021565789566.22
657.50	217214309383709.66
658.50	217406633723094.47
659.50	217713558965385.31
660.50	218023976481535.78
661.50	218314898761484.66
662.50	218593257811753.62
663.50	218861940180737.22
664.50	219098516199398.44
665.50	219334811454401.50
666.50	219545643011276.91
667.50	219751314290452.78
668.50	219886905217886.06
669.50	219925507187512.69
670.50	219963241871576.28
671.50	219823758592530.69
672.50	219679278430856.50
673.50	219521257019150.69
674.50	219350116997395.34
675.50	219177279336833.12
676.50	218995722949519.19
677.50	218812670558888.00
678.50	218618161217799.03
679.50	218412918239743.09
680.50	218206122793616.38
681.50	217994220023964.72
682.50	217780754353797.94
683.50	217563928172349.47
684.50	217343242614837.38
685.50	217120982202226.28
686.50	216877595997689.06
687.50	216629652319893.19
688.50	216377144216752.38
689.50	216115069909762.34
690.50	215851323818656.75
691.50	215593177525632.94
692.50	215337301609441.16
693.50	215079880518154.59
694.50	214830164785267.44
695.50	214578836806024.88
696.50	214329489648604.28
697.50	214085525355768.75
698.50	213839979162156.00
699.50	213602300775888.47
700.50	213368163085884.41
701.50	213132485061972.28
702.50	212901513711955.34
703.50	212669419125893.59
704.50	212433239996769.62
705.50	212185265106891.53
706.50	211935732421149.56
707.50	211681986236787.72
708.50	211423149423350.44
709.50	211162737355242.34
710.50	210903497453919.34
711.50	210644171494647.25
712.50	210383282178810.56
713.50	210110359015118.69
714.50	209833695581056.75
715.50	209555433429393.88
716.50	209297963932846.34
717.50	209039184711934.03
718.50	208783856668525.03
719.50	208560426313618.75
720.50	208335567151722.09
721.50	208113825520484.59
722.50	207905084374503.28
723.50	207694966931783.94
724.50	207480185914381.75
725.50	207257024418222.81
726.50	207032458267165.50
727.50	206817541382615.72
728.50	206619310368259.41
