wavelength (nm)	photon flux (phot/s/cm^2/nm)
964.50	137730321578945.00
965.50	137664882862704.59
966.50	137599012787732.72
967.50	137527174370049.95
968.50	137452163157678.69
969.50	137376703503051.03
970.50	137300795406167.08
971.50	137224438867026.83
972.50	137126198710455.09
973.50	137025600184092.75
974.50	136924505299580.11
975.50	136822914056917.11
976.50	136716734287427.66
977.50	136586837075647.77
978.50	136456387630398.64
979.50	136325385951680.14
980.50	136193832039492.28
981.50	136059324514983.89
982.50	135919795616378.58
983.50	135779700503494.03
984.50	135639039176330.39
985.50	135497811634887.59
986.50	135353650933738.39
987.50	135206732132163.11
988.50	135059237888091.48
989.50	134911168201523.41
990.50	134762523072459.02
991.50	134608831624975.75
992.50	134452449652998.77
993.50	134295478976160.27
994.50	134137919594460.23
995.50	133979771507898.69
996.50	133832706947015.66
997.50	133687998093666.45
998.50	133542729818522.83
999.50	133396902121584.80
1000.50	133250515002852.25
1001.50	133123353235477.41
1002.50	132997630246200.41
1003.50	132871391253019.98
1004.50	132744636255936.23
1005.50	132617365254949.12
1006.50	132510670565844.80
1007.50	132403715050412.00
1008.50	132296285866633.64
1009.50	132188383014509.78
1010.50	132079699317172.80
1011.50	131964699207320.94
1012.50	131849213269722.66
1013.50	131733241504377.80
1014.50	131616783911286.39
1015.50	131499898735162.14
1016.50	131383198319800.03
1017.50	131266013510583.83
1018.50	131148344307513.72
1019.50	131030190710589.53
1020.50	130912642269805.38
1021.50	130805638926802.02
1022.50	130698174915786.94
1023.50	130590250236760.16
1024.50	130481864889721.69
1025.50	130372480722865.41
1026.50	130257188219741.19
1027.50	130141423387045.97
1028.50	130025186224779.84
1029.50	129908476732942.73
1030.50	129790471540196.81
1031.50	129659080417888.80
1032.50	129527190332617.03
1033.50	129394801284381.55
1034.50	129261913273182.27
1035.50	129128445257428.02
1036.50	128986447256583.38
1037.50	128843934640125.77
1038.50	128700907408055.22
1039.50	128557365560371.72
1040.50	128413309097075.27
1041.50	128268908430169.20
1042.50	128124006313919.09
1043.50	127978589933930.67
1044.50	127832659290203.95
1045.50	127686214382738.89
1046.50	127529865611415.05
1047.50	127371194427297.70
1048.50	127211987616622.42
1049.50	127052245179389.19
1050.50	126891967115597.95
1051.50	126713342303826.58
1052.50	126527554047875.47
1053.50	126341183757764.89
1054.50	126154231433494.84
1055.50	125966697075065.44
1056.50	125774385827720.88
1057.50	125578685388325.50
1058.50	125382389679702.91
1059.50	125185498701852.95
1060.50	124988012454775.75
1061.50	124788976901600.86
