# AU: 0.72333199
# Source data: solarmin_20081029_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
780.50	879649307456468.88
781.50	878870222036033.00
782.50	878059786056010.88
783.50	877244404312425.88
784.50	876424076805277.25
785.50	875487900442343.50
786.50	874507480382175.62
787.50	873521732969536.50
788.50	872510370085603.88
789.50	871438705760819.88
790.50	870361523490842.62
791.50	869278823275671.50
792.50	868293329667848.62
793.50	867333300031785.25
794.50	866368089128155.38
795.50	865416914303529.75
796.50	864525023735988.25
797.50	863628161966702.62
798.50	862726328995673.00
799.50	861740123719531.00
800.50	860709591693028.25
801.50	859673792006721.25
802.50	858640522728056.25
803.50	857691794747663.50
804.50	856738042037916.62
805.50	855779264598815.38
806.50	854878299004670.00
807.50	854049359990621.12
808.50	853215742525784.25
809.50	852377446610159.00
810.50	851471843523023.50
811.50	850545730943572.38
812.50	849614746734059.00
813.50	848671392318769.50
814.50	847662402964322.50
815.50	846648374385787.25
816.50	845629306583163.00
817.50	844660269474459.88
818.50	843769033792030.62
819.50	842873095704583.50
820.50	841972455212118.38
821.50	841157526916124.88
822.50	840386860384570.00
823.50	839611830095317.88
824.50	838832436048368.00
825.50	837947439360985.25
826.50	837044011611208.88
827.50	836135941377666.38
828.50	835199864935932.38
829.50	833948311185476.38
830.50	832691309236126.00
831.50	831428859087881.25
832.50	830133277521264.50
833.50	828744412419639.00
834.50	827349822009814.62
835.50	825949506291791.88
836.50	824590875144613.50
837.50	823307453474588.88
838.50	822018612855739.75
839.50	820724353288066.38
840.50	819306332434409.50
841.50	817749002388131.38
842.50	816185654244411.00
843.50	814616288003248.50
844.50	812958211770476.75
845.50	811223396948970.50
846.50	809482201370134.88
847.50	807734625033969.50
848.50	806182802904516.75
849.50	804771622573520.12
850.50	803354882954984.62
851.50	801932584048910.12
852.50	800805616165192.25
853.50	799883133431847.38
854.50	798956287853370.75
855.50	798025079429762.50
856.50	797276746926285.00
857.50	796665904008342.38
858.50	796051465295033.38
859.50	795433430786357.50
860.50	794844822866420.12
