# AU: 0.72333199
# Source data: solarmax_20150604_and_20020322_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
700.50	948402431275225.25
701.50	947348546856937.50
702.50	946348068034144.75
703.50	945344748657126.50
704.50	944312456907229.62
705.50	943184132172826.00
706.50	942048808924838.38
707.50	940919681182210.50
708.50	939801106690109.88
709.50	938675620422983.75
710.50	937541139102828.38
711.50	936398616799471.25
712.50	935249173699150.88
713.50	934058721217117.25
714.50	932854260600125.38
715.50	931642764061898.62
716.50	930499392254958.62
717.50	929349954584335.88
718.50	928218878655225.25
719.50	927249834166011.62
720.50	926274504954624.50
721.50	925303042900093.88
722.50	924357516437995.88
723.50	923405822508044.25
724.50	922437887741858.50
725.50	921442322246463.38
726.50	920440502383901.25
727.50	919470247345928.00
728.50	918555631726014.62
729.50	917635035344952.00
730.50	916787646936169.75
731.50	916048605087246.00
732.50	915304111274578.62
733.50	914514839400973.25
734.50	913665626828637.38
735.50	912810706986314.75
736.50	911942932111549.00
737.50	911058694355470.62
738.50	910168700804201.50
739.50	909371512254720.50
740.50	908752123471387.38
741.50	908127740494694.88
742.50	907537499621485.00
743.50	907043141701388.88
744.50	906544166079485.12
745.50	906043844026300.38
746.50	905554905968499.25
747.50	905061401832680.75
748.50	904558711810302.88
749.50	903940419830573.50
750.50	903317253168381.75
751.50	902689211823728.00
752.50	902075552933562.50
753.50	901459453801190.25
754.50	900838537493950.38
755.50	900125378216436.88
756.50	899369652533875.62
757.50	898608779050388.75
758.50	897787348334547.25
759.50	896902876641238.38
760.50	896012958978322.75
761.50	895128861080412.88
762.50	894275068475539.50
763.50	893415953185527.00
764.50	892551515210375.12
765.50	891749479736763.00
766.50	890944395851318.38
767.50	890134171696880.62
768.50	889421469730522.62
769.50	888754525559299.38
770.50	888082839889540.00
771.50	887403679375152.00
772.50	886714687482592.75
773.50	886020933846363.38
774.50	885322418466464.12
775.50	884564329155836.62
776.50	883800782369541.38
777.50	883032331052095.62
778.50	882275176277795.25
779.50	881523973183551.75
780.50	880767934926919.38
781.50	880002491849564.62
782.50	879212695812309.75
783.50	878418003062229.25
784.50	877618413599322.62
785.50	876676366487387.88
786.50	875680678660649.25
787.50	874679620809418.75
788.50	873655926517727.25
789.50	872580075927973.12
790.50	871498693107794.75
