#Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
# using SORCE solstice and SORCE solar spectral irradiance
# interpolated to half-wavelengths by Eryn 2/18/19
#Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
706.5	185053644501063.3
707.5	184833320120679.5
708.5	184607962935834.16
709.5	184382605750988.78
710.5	184156264741706.0
711.5	183929393980803.06
712.5	183702523219900.16
713.5	183462917043056.75
714.5	183220702407526.75
715.5	182978487771996.78
716.5	182754100142360.53
717.5	182529892583490.9
718.5	182309592141670.78
719.5	182115439329335.78
720.5	181921286517000.75
721.5	181729632487679.7
722.5	181545891271236.16
723.5	181362150054792.62
724.5	181174766352803.1
725.5	180979642369028.34
726.5	180784518385253.6
727.5	180597091141174.06
728.5	180422221735544.62
729.5	180247352329915.16
730.5	180081506948522.8
731.5	179928647358105.8
732.5	179775787767688.84
733.5	179616878768549.53
734.5	179449615824031.8
735.5	179282352879514.06
736.5	179117288226322.3
737.5	178955521010119.5
738.5	178793753793916.7
739.5	178644338930845.4
740.5	178517864152161.3
741.5	178391389373477.22
742.5	178276424937602.62
743.5	178191058526095.3
744.5	178105692114587.97
745.5	178016997301342.34
746.5	177912052056080.3
747.5	177807106810818.3
748.5	177701362396891.47
749.5	177576437935008.2
750.5	177451513473124.94
751.5	177326589011241.7
752.5	177204081777279.4
753.5	177081873301824.22
754.5	176959664826369.06
755.5	176822053868229.6
756.5	176677841846082.56
757.5	176533629823935.56
758.5	176376949577656.7
759.5	176207292200138.5
760.5	176037634822620.34
761.5	175867877311644.25
762.5	175697802711384.8
763.5	175527728111125.38
764.5	175357653510865.94
765.5	175203246781811.03
766.5	175049324626092.38
767.5	174895402470373.7
768.5	174755539917191.0
769.5	174622602242869.3
770.5	174489664568547.62
771.5	174356584303455.8
772.5	174223239226933.8
773.5	174089894150411.8
774.5	173956549073889.8
775.5	173807779101281.8
776.5	173658853321642.66
777.5	173509927542003.47
778.5	173360661310470.97
779.5	173211168111009.53
780.5	173061674911548.12
781.5	172910085618296.9
782.5	172749560346257.62
783.5	172589035074218.3
784.5	172428509802179.03
785.5	172243472396991.8
786.5	172049822620698.6
787.5	171856172844405.34
788.5	171658009871175.25
789.5	171447644550671.47
790.5	171237279230167.66
791.5	171026913909663.88
792.5	170833765657459.47
793.5	170645760165915.94
794.5	170457754674372.38
795.5	170272620612958.12
796.5	170097099600237.7
797.5	169921578587517.25
798.5	169746057574796.78
799.5	169550365795488.56
800.5	169344739160995.28
801.5	169139112526502.03
802.5	168934969288401.22
803.5	168747885108813.97
804.5	168560800929226.72
805.5	168373716749639.47
806.5	168195734775367.78
807.5	168028877718704.0
808.5	167862020662040.2
809.5	167695163605376.4
810.5	167519236637204.6
811.5	167341042191155.8
812.5	167162847745107.03
813.5	166982272551833.78
814.5	166782434949199.22
815.5	166582597346564.62
816.5	166382759743930.06
817.5	166192117682248.72
818.5	166015268931997.22
819.5	165838420181745.7
820.5	165661571431494.2
821.5	165500867786969.62
822.5	165348857660913.44
823.5	165196847534857.25
824.5	165044837408801.06
825.5	164871590343979.97
826.5	164695447332963.62
827.5	164519304321947.3
828.5	164338144646552.16
829.5	164090335001552.22
830.5	163842525356552.28
831.5	163594715711552.3
832.5	163340524826698.2
833.5	163066126682305.72
834.5	162791728537913.28
835.5	162517330393520.8
836.5	162251630263101.0
837.5	162000740264580.56
838.5	161749850266060.12
839.5	161498960267539.66
840.5	161220200892427.9
841.5	160910014347968.53
842.5	160599827803509.12
843.5	160289641259049.75
844.5	159960581633530.88
845.5	159615444938961.34
846.5	159270308244391.78
847.5	158925171549822.25
848.5	158620113205649.3
849.5	158344077115211.88
850.5	158068041024774.4
851.5	157792004934336.94
852.5	157570500239586.84
853.5	157386890243534.72
854.5	157203280247482.62
855.5	157019670251430.5
856.5	156870832033085.56
857.5	156748225155817.97
858.5	156625618278550.38
859.5	156503011401282.78
860.5	156386357338665.66
861.5	156275422646987.25
862.5	156164487955308.8
863.5	156053553263630.4
864.5	155970984046644.88
865.5	155926015575182.5
866.5	155881047103720.16
867.5	155836078632257.78
868.5	155813251777837.0
869.5	155837475859629.53
870.5	155861699941422.1
871.5	155885924023214.62
872.5	155903946181513.78
873.5	155891688360403.97
874.5	155879430539294.16
875.5	155867172718184.38
876.5	155854914897074.56
877.5	155798762738591.25
878.5	155742610580107.94
879.5	155686458421624.62
880.5	155630306263141.3
881.5	155575220400394.2
882.5	155520417983349.06
883.5	155465615566303.94
884.5	155410813149258.8
885.5	155343369209955.78
886.5	155265992646021.53
887.5	155188616082087.28
888.5	155111239518153.03
889.5	155022608092008.34
