# wavelength (nm)	photon flux (γ/s/cm^2/nm)
1172.50	162003999869351.44
1173.50	161804058419091.47
1174.50	161604341176058.25
1175.50	161404049052065.00
1176.50	161203182047111.81
1177.50	161001740161198.72
1178.50	160812339110253.69
1179.50	160635526373069.66
1180.50	160458182448364.84
1181.50	160280307336139.31
1182.50	160101901036392.97
1183.50	159924260422283.31
1184.50	159770752222337.28
1185.50	159616756666662.84
1186.50	159462273755260.03
1187.50	159307303488128.91
1188.50	159151845865269.31
1189.50	159001300855331.09
1190.50	158853880574620.94
1191.50	158705988070503.12
1192.50	158557623342977.69
1193.50	158408786392044.56
1194.50	158262540987449.28
1195.50	158133204385549.50
1196.50	158003429758871.84
1197.50	157873217107416.34
1198.50	157742566431182.94
1199.50	157611477730171.66
1200.50	157501772627096.91
1201.50	157401943406327.28
1202.50	157301729622873.28
1203.50	157201131276734.94
1204.50	157100148367912.25
1205.50	156998501659152.16
1206.50	156895479080192.41
1207.50	156792069832766.16
1208.50	156688273916873.25
1209.50	156584091332513.78
1210.50	156479522079687.72
1211.50	156376227869611.53
1212.50	156273134060698.19
1213.50	156169657290385.12
1214.50	156065797558672.19
1215.50	155961554865559.50
1216.50	155855604775269.66
1217.50	155745685720616.72
1218.50	155635375639923.31
1219.50	155524674533189.38
1220.50	155413582400415.00
1221.50	155302099241600.09
1222.50	155183316382463.44
1223.50	155062181000366.19
1224.50	154940640101799.44
1225.50	154818693686763.22
1226.50	154696341755257.53
1227.50	154569802636413.44
1228.50	154434020752311.50
1229.50	154297812813133.84
1230.50	154161178818880.56
1231.50	154024118769551.56
1232.50	153886632665146.88
1233.50	153742350814549.19
1234.50	153596137244676.69
1235.50	153449484869317.12
1236.50	153302393688470.56
1237.50	153154863702137.00
1238.50	153006144772910.44
1239.50	152855314818023.28
1240.50	152704042150022.06
1241.50	152552326768906.69
1242.50	152400168674677.19
1243.50	152247567867333.53
1244.50	152079000789792.31
1245.50	151906555703449.41
1246.50	151733637480260.47
1247.50	151560246120225.59
1248.50	151386381623344.59
1249.50	151207118152355.72
1250.50	151016897878571.66
1251.50	150826179828899.62
1252.50	150634964003339.59
1253.50	150443250401891.62
1254.50	150251039024555.72
1255.50	150067131288277.22
1256.50	149884673353884.91
1257.50	149701734741868.72
1258.50	149518315452228.75
1259.50	149334415484964.94
1260.50	149154531614464.25
1261.50	148984191091147.28
1262.50	148813392906031.59
1263.50	148642137059117.31
1264.50	148470423550404.38
1265.50	148298252379892.81
1266.50	148133372816700.25
1267.50	147969866994039.06
1268.50	147805918617354.78
1269.50	147641527686647.50
1270.50	147476694201917.22
1271.50	147317032080516.75
1272.50	147170045678084.53
1273.50	147022646156246.41
1274.50	146874833515002.34
1275.50	146726607754352.44
1276.50	146577968874296.62
1277.50	146450843932441.06
1278.50	146328826254665.00
1279.50	146206438367576.16
1280.50	146083680271174.62
1281.50	145960551965460.31
1282.50	145845990290298.28
1283.50	145752969252051.81
1284.50	145659626061707.66
1285.50	145565960719265.91
1286.50	145471973224726.53
1287.50	145377663578089.59
1288.50	145280005307249.66
1289.50	145181165903816.03
1290.50	145081998325634.50
1291.50	144982502572705.09
1292.50	144882678645027.72
1293.50	144781766215060.72
1294.50	144678567795266.44
1295.50	144575037002107.31
1296.50	144471173835583.31
1297.50	144366978295694.56
1298.50	144262450382440.91
1299.50	144157110379438.72
1300.50	144051293862588.84
1301.50	143945144013531.00
1302.50	143838660832265.22
1303.50	143731844318791.56
1304.50	143623925429375.81
1305.50	143513481534010.22
1306.50	143402699771579.69
1307.50	143291580142084.19
1308.50	143180122645523.72
1309.50	143068327281898.22
1310.50	142953146882489.12
1311.50	142836660967545.84
1312.50	142719831066602.03
1313.50	142602657179657.69
1314.50	142485139306712.81
1315.50	142368907052675.38
1316.50	142256974922194.88
1317.50	142144708334731.28
1318.50	142032107290284.47
1319.50	141919171788854.53
1320.50	141805901830441.50
1321.50	141691337483447.16
1322.50	141576133860996.56
1323.50	141460593869995.84
1324.50	141344717510444.94
1325.50	141228504782343.91
1326.50	141112641469766.12
1327.50	140998396141017.72
1328.50	140883818420546.97
1329.50	140768908308353.94
1330.50	140653665804438.56
1331.50	140538090908800.86
1332.50	140422364331035.94
1333.50	140306362741796.95
1334.50	140190029117722.36
1335.50	140073363458812.14
1336.50	139956365765066.34
1337.50	139836368792581.42
1338.50	139708818967909.28
1339.50	139580922336541.91
1340.50	139452678898479.36
1341.50	139324088653721.52
1342.50	139195151602268.48
1343.50	139063432311040.17
1344.50	138930675159299.66
1345.50	138797566552780.44
1346.50	138664106491482.48
1347.50	138530294975405.73
1348.50	138396115938163.00
1349.50	138261546058195.36
1350.50	138126624641281.59
1351.50	137991351687421.77
1352.50	137855727196615.84
1353.50	137719751168863.86
1354.50	137584127007223.14
1355.50	137448317464844.78
1356.50	137312157667763.00
1357.50	137175647615977.80
1358.50	137038787309489.12
1359.50	136905153133340.11
1360.50	136778440450243.41
1361.50	136651393455849.47
1362.50	136524012150158.44
1363.50	136396296533170.33
1364.50	136268246604885.00
1365.50	136146883345307.16
1366.50	136026339845068.47
1367.50	135905473990955.16
1368.50	135784285782967.23
1369.50	135662775221104.73
1370.50	135542716060977.17
1371.50	135425233269419.31
1372.50	135307434935775.11
1373.50	135189321060044.59
1374.50	135070891642227.78
1375.50	134952146682324.61
1376.50	134831480933462.05
1377.50	134710357622061.39
1378.50	134588916233400.36
1379.50	134467156767478.94
1380.50	134345079224297.12
1381.50	134221499892132.00
1382.50	134096210188568.89
1383.50	133970598682394.22
1384.50	133844665373607.88
1385.50	133718410262209.92
1386.50	133591833348200.38
1387.50	133458512662821.31
1388.50	133324860917938.77
1389.50	133190878113552.66
1390.50	133056564249663.05
1391.50	132921919326269.95
1392.50	132782952736040.45
1393.50	132640381967637.56
1394.50	132497469718690.28
1395.50	132354215989198.62
1396.50	132210620779162.59
1397.50	132066663977984.80
1398.50	131922184542591.11
1399.50	131777363338844.89
1400.50	131632200366746.11
1401.50	131486695626294.73
1402.50	131340849117490.84
1403.50	131195065666992.31
1404.50	131049149720679.75
1405.50	130902892880077.67
1406.50	130756295145186.03
1407.50	130609356516004.83
1408.50	130461868171835.48
1409.50	130313297746926.05
1410.50	130164385079931.61
1411.50	130015130170852.09
1412.50	129865533019687.48
1413.50	129715593626437.88
1414.50	129573607877847.42
1415.50	129433498411689.86
1416.50	129293061551269.75
1417.50	129152297296587.05
1418.50	129011205647641.78
1419.50	128870833564901.47
1420.50	128731919481266.06
1421.50	128592681990156.25
1422.50	128453121091572.05
1423.50	128313236785513.36
1424.50	128173029071980.30
1425.50	128045589195854.02
1426.50	127918533775722.41
1427.50	127791174282045.22
1428.50	127663510714822.41
1429.50	127535543074054.03
1430.50	127413228474359.45
1431.50	127295696256372.59
1432.50	127177875388389.58
1433.50	127059765870410.45
1434.50	126941367702435.11
1435.50	126823456566290.81
1436.50	126710026082849.27
1437.50	126596314668790.78
1438.50	126482322324115.45
1439.50	126368049048823.30
1440.50	126253494842914.23
1441.50	126150777053771.55
1442.50	126052055546009.88
1443.50	125953075826734.67
1444.50	125853837895946.00
1445.50	125754341753643.86
1446.50	125654614693347.80
1447.50	125554680182282.31
1448.50	125454487567524.36
1449.50	125354036849073.77
1450.50	125253328026930.66
1451.50	125152361101094.91
1452.50	125041946568817.89
1453.50	124930878119928.69
1454.50	124819538386763.52
1455.50	124707927369322.38
1456.50	124596045067605.30
1457.50	124483489617674.33
1458.50	124370382879041.05
1459.50	124257003921482.98
1460.50	124143352745000.14
1461.50	124029429349592.52
1462.50	123913501310644.27
1463.50	123791152251097.36
1464.50	123668520203863.52
1465.50	123545605168942.67
1466.50	123422407146334.94
1467.50	123298926136040.19
1468.50	123150415105536.33
1469.50	122997556053497.72
1470.50	122844374823279.52
1471.50	122690871414881.73
1472.50	122537045828304.36
1473.50	122385012058571.73
1474.50	122234774409711.66
1475.50	122084220321375.86
1476.50	121933349793564.31
1477.50	121782162826277.00
1478.50	121633237424141.45
1479.50	121497542748375.72
1480.50	121361553428912.30
1481.50	121225269465751.17
1482.50	121088690858892.31
1483.50	120951817608335.81
1484.50	120830349065894.19
1485.50	120712055551417.39
1486.50	120593493187181.62
1487.50	120474661973186.81
1488.50	120355561909433.02
1489.50	120245231782818.61
1490.50	120144058976117.16
1491.50	120042642088376.22
1492.50	119940981119595.84
1493.50	119839076069775.94
1494.50	119740507200351.59
1495.50	119659190837371.48
1496.50	119577658577174.44
1497.50	119495910419760.42
1498.50	119413946365129.45
1499.50	119331766413281.53
1500.50	119279771177883.38
1501.50	119232968955440.45
1502.50	119185998507127.23
1503.50	119138859832943.73
1504.50	119091552932889.95
1505.50	119049100392007.70
1506.50	119010598414914.94
1507.50	118971940343433.48
1508.50	118933126177563.42
1509.50	118894155917304.73
1510.50	118850514151918.34
1511.50	118793155113184.16
1512.50	118735616065274.28
1513.50	118677897008188.66
1514.50	118619997941927.27
1515.50	118561918866490.17
1516.50	118500199526529.30
1517.50	118438151341538.52
1518.50	118375918393751.61
1519.50	118313500683168.61
1520.50	118250898209789.48
1521.50	118178755428678.53
1522.50	118102010084000.41
1523.50	118025061891538.53
1524.50	117947910851292.95
1525.50	117870556963263.64
1526.50	117779701728981.12
1527.50	117669476823315.67
1528.50	117559006573486.36
1529.50	117448290979493.25
1530.50	117337330041336.28
1531.50	117222711538177.48
1532.50	117086868763214.75
1533.50	116950748815154.47
1534.50	116814351693996.62
1535.50	116677677399741.30
1536.50	116540725932388.38
1537.50	116384294539506.12
1538.50	116225186076782.31
1539.50	116065772374455.14
1540.50	115906053432524.66
1541.50	115746029250990.83
1542.50	115566609783803.55
1543.50	115376115212499.97
1544.50	115185276726459.28
1545.50	114994094325681.42
1546.50	114802568010166.47
1547.50	114604836456681.61
1548.50	114398313375692.75
1549.50	114191427903830.64
1550.50	113984180041095.22
1551.50	113776569787486.55
1552.50	113566305343404.39
1553.50	113345228410740.44
1554.50	113123772684987.50
1555.50	112901938166145.50
1556.50	112679724854214.41
1557.50	112457132749194.28
1558.50	112242114213319.50
1559.50	112027058650538.22
1560.50	111811634925031.27
1561.50	111595843036798.62
1562.50	111379682985840.33
1563.50	111183124389268.33
1564.50	110992883971229.41
1565.50	110802309450146.55
1566.50	110611400826019.66
1567.50	110420158098848.73
1568.50	110245103005146.69
1569.50	110083261278033.72
1570.50	109921123751378.09
1571.50	109758690425179.81
1572.50	109595961299438.94
1573.50	109448180294642.78
1574.50	109327240392149.80
1575.50	109206058511815.52
1576.50	109084634653639.98
1577.50	108962968817623.23
1578.50	108844782160709.61
1579.50	108743320917217.05
1580.50	108641643889223.91
1581.50	108539751076730.16
1582.50	108437642479735.89
1583.50	108335455355288.84
1584.50	108246649648706.89
1585.50	108157645493531.89
1586.50	108068442889763.86
1587.50	107979041837402.75
1588.50	107889442336448.62
1589.50	107818137008536.25
1590.50	107749921957426.00
1591.50	107681535832400.84
1592.50	107612978633460.81
1593.50	107544250360605.86
1594.50	107476204056483.17
1595.50	107408353567414.56
1596.50	107340333532975.89
1597.50	107272143953167.12
1598.50	107203784827988.27
1599.50	107112125103248.61
1600.50	107001329670231.02
1601.50	106898510131568.64
1602.50	106812910383081.78
1603.50	106727120495761.62
1604.50	106641140469608.23
1605.50	106554970304621.59
1606.50	106468610000801.73
1607.50	106382059558148.56
1608.50	106295318976662.22
1609.50	106208388256342.58
1610.50	106121267397189.72
1611.50	106033956399203.58
1612.50	105946455262384.22
1613.50	105858763986731.61
1614.50	105770882572245.73
1615.50	105682811018926.64
1616.50	105594549326774.28
1617.50	105500714644755.12
1618.50	105403653442495.73
1619.50	105306391701768.14
1620.50	105208929422572.41
1621.50	105111266604908.48
1622.50	105013403248776.44
1623.50	104915339354176.19
1624.50	104817074921107.80
1625.50	104718609949571.25
1626.50	104619944439566.48
1627.50	104521078391093.59
1628.50	104422011804152.56
1629.50	104322744678743.31
1630.50	104223277014865.92
1631.50	104123608812520.36
1632.50	104022090667126.86
1633.50	103901390190804.77
1634.50	103780463917138.84
1635.50	103659311846129.12
1636.50	103537933977775.59
1637.50	103416330312078.25
1638.50	103294500849037.08
1639.50	103172445588652.11
1640.50	103050164530923.31
1641.50	102927657675850.72
1642.50	102804925023434.30
1643.50	102681966573674.08
1644.50	102558782326570.03
1645.50	102435372282122.19
1646.50	102311736440330.52
1647.50	102187874801195.05
1648.50	102066582454383.83
1649.50	101947011229999.58
1650.50	101827219955848.25
1651.50	101707208631929.84
1652.50	101586977258244.33
1653.50	101466525834791.75
1654.50	101345854361572.06
1655.50	101224962838585.30
1656.50	101103851265831.45
1657.50	100982519643310.50
1658.50	100860967971022.47
1659.50	100739196248967.34
1660.50	100617204477145.14
1661.50	100494992655555.84
1662.50	100372560784199.47
1663.50	100251337775517.09
1664.50	100135991776346.27
1665.50	100020434769298.11
1666.50	99904666754372.58
1667.50	99788687731569.72
1668.50	99672497700889.52
1669.50	99556096662331.97
1670.50	99439484615897.06
1671.50	99322661561584.81
1672.50	99205627499395.27
1673.50	99088382429328.34
1674.50	98970926351384.06
1675.50	98853259265562.48
1676.50	98735381171863.53
1677.50	98617292070287.23
1678.50	98498991960833.59
1679.50	98389441168057.92
1680.50	98280798152873.66
1681.50	98171956118833.09
1682.50	98062915065936.19
1683.50	97953674994182.97
1684.50	97844235903573.41
1685.50	97734597794107.52
1686.50	97624760665785.33
1687.50	97514724518606.78
1688.50	97404489352571.92
1689.50	97294055167680.73
1690.50	97183421963933.23
1691.50	97072589741329.39
1692.50	96961558499869.22
1693.50	96850328239552.73
1694.50	96707004876458.86
1695.50	96548427012129.42
1696.50	96389594769764.44
1697.50	96230508149363.88
1698.50	96071167150927.81
1699.50	95911571774456.22
1700.50	95751722019949.03
1701.50	95591617887406.36
1702.50	95431259376828.11
1703.50	95270646488214.31
1704.50	95109779221565.00
1705.50	94948657576880.16
1706.50	94787281554159.75
1707.50	94625651153403.80
1708.50	94463766374612.31
1709.50	94290631333862.94
1710.50	94108929057752.47
1711.50	93926949834405.64
1712.50	93744693663822.42
1713.50	93562160546002.80
1714.50	93379350480946.78
1715.50	93196263468654.39
1716.50	93012899509125.59
1717.50	92829258602360.42
1718.50	92645340748358.86
1719.50	92461145947120.91
1720.50	92276674198646.58
1721.50	92091925502935.84
1722.50	91906899859988.70
1723.50	91721597269805.20
1724.50	91567544695485.89
1725.50	91439061483356.33
1726.50	91310367803260.97
1727.50	91181463655199.84
1728.50	91052349039172.97
1729.50	90923023955180.31
1730.50	90793488403221.88
1731.50	90663742383297.69
1732.50	90533785895407.72
1733.50	90403618939551.98
1734.50	90273241515730.50
1735.50	90142653623943.22
1736.50	90011855264190.17
1737.50	89880846436471.36
1738.50	89749627140786.80
1739.50	89644104469219.66
1740.50	89552982233354.62
1741.50	89461696071439.80
1742.50	89370245983475.08
1743.50	89278631969460.53
1744.50	89186854029396.16
1745.50	89094912163281.92
1746.50	89002806371117.88
1747.50	88910536652903.97
1748.50	88818103008640.25
1749.50	88725505438326.67
1750.50	88632743941963.23
1751.50	88539818519549.98
1752.50	88446729171086.89
1753.50	88353475896573.94
1754.50	88237299060558.55
1755.50	88115590631424.50
1756.50	87993686246243.03
1757.50	87871585905014.14
1758.50	87749289607737.88
1759.50	87626797354414.14
1760.50	87504109145043.02
1761.50	87381224979624.48
1762.50	87258144858158.53
1763.50	87134868780645.16
1764.50	87011396747084.36
1765.50	86887728757476.16
1766.50	86763864811820.52
1767.50	86639804910117.47
1768.50	86514767937924.34
1769.50	86379150594950.42
1770.50	86243324676446.19
1771.50	86107290182411.67
1772.50	85971047112846.80
1773.50	85834595467751.61
1774.50	85697935247126.12
1775.50	85561066450970.33
1776.50	85423989079284.22
1777.50	85286703132067.80
1778.50	85149208609321.05
1779.50	85011505511043.98
1780.50	84873593837236.61
1781.50	84735473587898.94
1782.50	84597144763030.94
1783.50	84457110157974.12
1784.50	84314879519002.36
1785.50	84172436399962.81
1786.50	84029780800855.47
1787.50	83886912721680.30
1788.50	83743832162437.38
1789.50	83600539123126.66
1790.50	83457033603748.09
1791.50	83313315604301.78
1792.50	83169385124787.66
1793.50	83025242165205.73
1794.50	82880886725556.05
1795.50	82736318805838.53
1796.50	82591538406053.23
1797.50	82446545526200.12
1798.50	82326621853670.44
1799.50	82209963234968.00
1800.50	82093124084143.53
1801.50	81976104401197.00
1802.50	81858904186128.44
1803.50	81741523438937.84
1804.50	81623962159625.19
1805.50	81506220348190.48
1806.50	81388298004633.77
1807.50	81270195128954.98
1808.50	81151911721154.17
1809.50	81033447781231.30
1810.50	80914803309186.39
1811.50	80795978305019.44
1812.50	80691317141175.45
1813.50	80606311097809.33
1814.50	80521162208685.56
1815.50	80435870473804.14
1816.50	80350435893165.05
1817.50	80264858466768.33
1818.50	80179138194613.92
1819.50	80093275076701.86
1820.50	80007269113032.17
1821.50	79921120303604.80
1822.50	79834828648419.80
1823.50	79748394147477.11
1824.50	79661816800776.77
1825.50	79575096608318.80
1826.50	79487607487755.05
1827.50	79390160842251.38
1828.50	79292559925087.17
1829.50	79194804736262.44
1830.50	79096895275777.14
1831.50	78998831543631.36
1832.50	78900613539825.02
1833.50	78802241264358.16
1834.50	78703714717230.73
1835.50	78605033898442.80
1836.50	78506198807994.36
1837.50	78407209445885.36
1838.50	78308065812115.84
1839.50	78208767906685.78
1840.50	78109315729595.19
1841.50	77984818661569.36
1842.50	77853116045478.58
1843.50	77721224500056.50
1844.50	77589144025303.12
1845.50	77456874621218.45
1846.50	77324416287802.48
1847.50	77191769025055.25
1848.50	77058932832976.70
1849.50	76925907711566.86
1850.50	76792693660825.75
1851.50	76659290680753.31
1852.50	76525698771349.61
1853.50	76391917932614.59
1854.50	76257948164548.31
1855.50	76124773770491.39
1856.50	75992068063940.34
1857.50	75859175196320.53
1858.50	75726095167631.94
1859.50	75592827977874.62
1860.50	75459373627048.53
1861.50	75325732115153.69
1862.50	75191903442190.11
1863.50	75057887608157.75
1864.50	74923684613056.64
1865.50	74789294456886.78
1866.50	74654717139648.17
1867.50	74519952661340.80
1868.50	74385001021964.66
1869.50	74299133840410.08
1870.50	74262430183195.73
1871.50	74225644786937.55
1872.50	74188777651635.50
1873.50	74151828777289.62
1874.50	74114798163899.88
1875.50	74077685811466.31
1876.50	74040491719988.84
1877.50	74003215889467.55
1878.50	73965858319902.41
1879.50	73928419011293.44
1880.50	73890897963640.58
1881.50	73853295176943.89
1882.50	73815610651203.36
1883.50	73773158838747.09
1884.50	73725932276531.36
1885.50	73678614024546.69
1886.50	73631204082793.06
1887.50	73583702451270.52
1888.50	73536109129979.06
1889.50	73488424118918.64
1890.50	73440647418089.33
1891.50	73392779027491.05
1892.50	73344818947123.88
1893.50	73296767176987.75
1894.50	73248623717082.69
1895.50	73200388567408.72
1896.50	73152061727965.81
1897.50	73070158180537.34
1898.50	72963867098901.69
1899.50	72857423476071.52
1900.50	72750827312046.80
1901.50	72644078606827.58
1902.50	72537177360413.84
1903.50	72430123572805.58
1904.50	72322917244002.80
1905.50	72215558374005.48
1906.50	72108046962813.66
1907.50	72000383010427.33
1908.50	71892566516846.48
1909.50	71784597482071.09
1910.50	71676475906101.20
1911.50	71528122360000.45
1912.50	71366207538828.77
1913.50	71204084263055.72
1914.50	71041752532681.33
1915.50	70879212347705.59
1916.50	70716463708128.48
1917.50	70553506613950.05
1918.50	70390341065170.22
1919.50	70226967061789.05
1920.50	70063384603806.55
1921.50	69899593691222.66
1922.50	69735594324037.45
1923.50	69571386502250.89
1924.50	69408217771649.67
1925.50	69306003390446.85
1926.50	69203645379053.51
1927.50	69101143737469.65
1928.50	68998498465695.30
1929.50	68895709563730.45
1930.50	68792777031575.04
1931.50	68689700869229.16
1932.50	68586481076692.79
1933.50	68483117653965.88
1934.50	68379610601048.48
1935.50	68275959917940.56
1936.50	68172165604642.15
1937.50	68068227661153.22
1938.50	67995854407336.20
1939.50	67977387930890.65
1940.50	67958866241238.66
1941.50	67940289338380.20
1942.50	67921657222315.28
1943.50	67902969893043.94
1944.50	67884227350566.09
1945.50	67865429594881.81
1946.50	67846576625991.07
1947.50	67827668443893.87
1948.50	67808705048590.21
1949.50	67789686440080.11
1950.50	67770612618363.52
1951.50	67751483583440.48
1952.50	67696342593977.39
1953.50	67631546543380.09
1954.50	67566648657438.12
1955.50	67501648936151.48
1956.50	67436547379520.12
1957.50	67371343987544.09
1958.50	67306038760223.36
1959.50	67240631697557.94
1960.50	67175122799547.85
1961.50	67109512066193.05
1962.50	67043799497493.58
1963.50	66977985093449.40
1964.50	66912068854060.53
1965.50	66838250235828.70
1966.50	66746950511112.62
1967.50	66655523346326.80
1968.50	66563968741471.24
1969.50	66472286696545.95
1970.50	66380477211550.92
1971.50	66288540286486.15
1972.50	66196475921351.65
1973.50	66104284116147.41
1974.50	66011964870873.42
1975.50	65919518185529.68
1976.50	65826944060116.23
1977.50	65734242494633.02
1978.50	65641413489080.09
1979.50	65582994752760.73
1980.50	65527901014758.34
1981.50	65472718183265.34
1982.50	65417446258281.77
1983.50	65362085239807.59
1984.50	65306635127842.82
1985.50	65251095922387.47
1986.50	65195467623441.49
1987.50	65139750231004.93
1988.50	65083943745077.78
1989.50	65028048165660.05
1990.50	64972063492751.69
1991.50	64915989726352.77
1992.50	64856641096656.92
1993.50	64794892081142.63
1994.50	64733048458756.01
1995.50	64671110229497.05
1996.50	64609077393365.75
1997.50	64546949950362.09
1998.50	64484727900486.12
1999.50	64422411243737.80
2000.50	64359999980117.13
2001.50	64297494109624.14
2002.50	64234893632258.79
2003.50	64172198548021.10
2004.50	64109408856911.09
2005.50	64034654843057.22
2006.50	63937739635468.22
2007.50	63840696000539.27
2008.50	63743523938270.33
2009.50	63646223448661.41
2010.50	63548794531712.52
2011.50	63451237187423.68
2012.50	63353551415794.87
2013.50	63255737216826.07
2014.50	63157794590517.30
2015.50	63059723536868.56
2016.50	62961524055879.85
2017.50	62863196147551.16
2018.50	62771954917721.53
2019.50	62711366783559.20
2020.50	62650687848255.84
2021.50	62589918111811.41
2022.50	62529057574225.93
2023.50	62468106235499.41
2024.50	62407064095631.81
2025.50	62345931154623.17
2026.50	62284707412473.48
2027.50	62223392869182.73
2028.50	62161987524750.92
2029.50	62100491379178.06
2030.50	62038904432464.15
2031.50	61973091239479.76
2032.50	61876841648236.82
2033.50	61780467328171.05
2034.50	61683968279282.48
2035.50	61587344501571.11
2036.50	61490595995036.90
2037.50	61393722759679.90
2038.50	61296724795500.08
2039.50	61199602102497.45
2040.50	61102354680672.01
2041.50	61004982530023.75
2042.50	60907485650552.67
2043.50	60809864042258.80
2044.50	60712579763683.88
2045.50	60618561294932.93
2046.50	60524421864038.39
2047.50	60430161471000.27
2048.50	60335780115818.58
2049.50	60241277798493.33
2050.50	60146654519024.48
2051.50	60051910277412.05
2052.50	59957045073656.07
2053.50	59862058907756.49
2054.50	59766951779713.34
2055.50	59671723689526.62
2056.50	59576374637196.31
2057.50	59487561426922.14
2058.50	59425273883611.93
2059.50	59362897732006.00
2060.50	59300432972104.38
2061.50	59237879603907.06
2062.50	59175237627414.02
2063.50	59112507042625.30
2064.50	59049687849540.88
2065.50	58986780048160.71
2066.50	58923783638484.87
2067.50	58860698620513.31
2068.50	58797524994246.06
2069.50	58734262759683.11
2070.50	58670400597332.80
2071.50	58605578287206.98
2072.50	58540666033895.77
2073.50	58475663837399.12
2074.50	58410571697717.06
2075.50	58345389614849.60
2076.50	58280117588796.70
2077.50	58214755619558.41
2078.50	58149303707134.71
2079.50	58083761851525.58
2080.50	58018130052731.05
2081.50	57952408310751.10
2082.50	57886596625585.72
2083.50	57792153375728.63
2084.50	57679336104672.79
2085.50	57566383976062.96
2086.50	57453296989899.16
2087.50	57340075146181.36
2088.50	57226718444909.60
2089.50	57113226886083.87
2090.50	56999600469704.14
2091.50	56885839195770.44
2092.50	56771943064282.77
2093.50	56657912075241.08
2094.50	56543746228645.45
2095.50	56429445524495.84
2096.50	56369269214014.90
2097.50	56313730253996.13
2098.50	56258112699191.81
2099.50	56202416549601.88
2100.50	56146641805226.42
2101.50	56090788466065.37
2102.50	56034856532118.73
2103.50	55978846003386.54
2104.50	55922756879868.75
2105.50	55866589161565.41
2106.50	55810342848476.48
2107.50	55754017940601.98
2108.50	55698141060810.04
2109.50	55643358802255.23
2110.50	55588499560281.61
2111.50	55533563334889.24
2112.50	55478550126078.09
2113.50	55423459933848.16
2114.50	55368292758199.47
2115.50	55313048599131.98
2116.50	55257727456645.72
2117.50	55202329330740.68
2118.50	55146854221416.87
2119.50	55091302128674.28
2120.50	55035673052512.91
2121.50	54987526762682.91
2122.50	54941569793686.62
2123.50	54895545096876.38
2124.50	54849452672252.14
2125.50	54803292519813.93
2126.50	54757064639561.75
2127.50	54710769031495.57
2128.50	54664405695615.43
2129.50	54617974631921.33
2130.50	54571475840413.22
2131.50	54524909321091.16
2132.50	54478275073955.12
2133.50	54413303081474.36
2134.50	54305596212200.59
2135.50	54197764525768.16
2136.50	54089808022177.08
2137.50	53981726701427.34
2138.50	53873520563518.96
2139.50	53765189608451.90
2140.50	53656733836226.21
2141.50	53548153246841.86
2142.50	53439447840298.85
2143.50	53330617616597.18
2144.50	53221662575736.87
2145.50	53112582717717.88
2146.50	53019582829889.12
2147.50	52928076641622.15
2148.50	52836462228284.70
2149.50	52744739589876.76
2150.50	52652908726398.30
2151.50	52560969637849.40
2152.50	52468922324229.99
2153.50	52376766785540.10
2154.50	52284503021779.72
2155.50	52192131032948.84
2156.50	52099650819047.48
2157.50	52007062380075.64
2158.50	51948560929956.01
2159.50	51913756723710.88
2160.50	51878897994493.68
2161.50	51843984742304.37
2162.50	51809016967142.98
2163.50	51773994669009.52
2164.50	51738917847903.97
2165.50	51703786503826.31
2166.50	51668600636776.58
2167.50	51633360246754.77
2168.50	51598065333760.86
2169.50	51562715897794.88
2170.50	51534732038323.86
2171.50	51520487026683.95
2172.50	51506207027003.26
2173.50	51491892039281.77
2174.50	51477542063519.50
2175.50	51463157099716.45
2176.50	51448737147872.60
2177.50	51434282207987.96
2178.50	51419792280062.53
2179.50	51405267364096.32
2180.50	51390707460089.33
2181.50	51376112568041.53
2182.50	51354736823822.80
2183.50	51297887895938.41
2184.50	51240965343907.09
2185.50	51183969167728.87
2186.50	51126899367403.72
2187.50	51069755942931.66
2188.50	51012538894312.68
2189.50	50955248221546.77
2190.50	50897883924633.95
2191.50	50840446003574.22
2192.50	50782934458367.57
2193.50	50725349289013.99
2194.50	50667735009476.27
2195.50	50610744849564.45
2196.50	50553681741650.06
2197.50	50496545685733.12
2198.50	50439336681813.58
2199.50	50382054729891.47
2200.50	50324699829966.78
2201.50	50267271982039.52
2202.50	50209771186109.68
2203.50	50152197442177.27
2204.50	50094550750242.29
2205.50	50036831110304.71
2206.50	49978978847164.16
2207.50	49918128171896.62
2208.50	49857201844107.99
2209.50	49796199863798.33
2210.50	49735122230967.59
2211.50	49673968945615.77
2212.50	49612740007742.91
2213.50	49551435417348.98
2214.50	49490055174433.99
2215.50	49428599278997.95
2216.50	49367067731040.83
2217.50	49305460530562.64
2218.50	49244100808427.52
2219.50	49188807978899.44
2220.50	49133445322964.62
2221.50	49078012840623.00
2222.50	49022510531874.62
2223.50	48966938396719.48
2224.50	48911296435157.57
2225.50	48855584647188.90
2226.50	48799803032813.45
2227.50	48743951592031.25
2228.50	48688030324842.27
2229.50	48632039231246.52
2230.50	48573183614956.78
2231.50	48497080549648.86
2232.50	48420889758704.11
2233.50	48344611242122.52
2234.50	48268244999904.09
2235.50	48191791032048.83
2236.50	48115249338556.71
2237.50	48038619919427.78
2238.50	47961902774662.00
2239.50	47885097904259.38
2240.50	47808205308219.92
2241.50	47731224986543.63
2242.50	47655851142791.70
2243.50	47584345988869.08
2244.50	47512758145960.86
2245.50	47441087614067.02
